,time,Stop 1,Stop 10,Stop 11,Stop 12,Stop 13,Stop 14,Stop 15,Stop 16,Stop 17,Stop 18,Stop 19,Stop 2,Stop 20,Stop 21,Stop 22,Stop 23,Stop 24,Stop 25,Stop 26,Stop 27,Stop 28,Stop 29,Stop 3,Stop 30,Stop 31,Stop 32,Stop 4,Stop 5,Stop 6,Stop 7,Stop 8,Stop 9,Total bookings
s,0,4,0,0,1,1,0,0,0,1,0,0,5,0,1,1,0,1,0,1,3,2,1,3,3,1,1,1,0,0,0,0,1,32
s,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,2,0,0,0,1,0,0,1,0,0,0,0,15
s,2,1,2,2,2,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,1,18
s,3,1,0,2,3,1,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,17
s,4,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,13
s,5,3,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,14
s,6,1,2,0,0,0,0,1,1,1,1,1,0,0,0,1,2,0,2,1,0,1,0,1,1,2,0,0,0,1,0,1,2,23
s,7,0,0,2,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,3,0,14
s,8,1,1,2,2,0,2,1,0,1,1,0,1,0,1,0,0,2,0,1,1,1,0,1,1,0,0,0,2,1,2,0,2,27
s,9,1,0,0,1,1,0,2,0,0,0,0,0,1,3,0,2,2,1,0,0,0,1,1,0,0,0,1,0,0,3,1,0,21
s,10,1,2,0,0,0,1,1,1,0,0,2,1,1,0,1,0,0,0,0,0,0,1,0,0,1,2,2,1,0,1,0,1,20
s,11,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,0,1,1,13
s,12,2,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,15
s,13,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,2,0,2,0,1,2,0,2,1,1,1,1,0,0,1,1,1,21
s,14,1,0,1,2,0,1,1,0,0,0,0,2,0,0,1,0,1,0,0,1,2,1,0,1,1,0,1,0,0,0,0,0,17
s,15,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,2,0,0,2,1,3,2,1,0,1,1,0,0,0,1,0,21
s,16,1,0,1,1,0,1,0,2,1,1,1,3,0,2,0,1,2,0,0,1,2,1,1,1,2,1,1,1,1,0,1,1,31
s,17,4,0,3,0,1,2,0,0,2,2,2,1,0,7,4,4,2,0,0,2,1,5,0,3,2,1,2,1,2,0,2,3,58
s,18,2,2,2,1,0,0,0,0,1,1,2,2,2,2,2,1,1,0,1,0,1,2,1,2,2,3,1,2,0,0,3,1,40
s,19,0,1,1,3,0,0,1,0,1,0,1,0,0,1,1,2,1,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,19
s,20,1,3,4,9,0,0,2,3,0,0,0,0,0,1,1,2,2,2,1,2,2,1,1,1,2,0,2,0,1,1,0,2,46
s,21,0,1,4,4,0,0,1,3,1,0,0,1,0,1,0,2,1,0,0,0,1,2,1,0,0,1,0,0,0,1,0,2,27
s,22,4,1,4,3,1,1,2,1,0,0,0,3,0,0,1,1,1,1,0,1,1,1,0,1,2,1,2,0,0,0,2,1,36
s,23,2,0,1,0,0,0,0,2,1,0,0,4,1,1,0,1,1,1,1,1,1,1,0,0,1,2,1,0,0,0,0,2,25