dem,|V|,batteryCost,avgWaitingTime,completedBookingsRatio
13,2,0.21,14,0.62
13,3,0.32,7,0.77
13,4,0.42,7,0.62
13,5,0.55,4,0.77
13,6,0.59,5,0.54
13,7,0.74,3,0.69
13,8,0.82,3,0.62
13,9,0.94,6,0.69
13,10,1.02,3,0.62
15,2,0.18,5,0.40
15,3,0.23,12,0.33
15,4,0.41,3,0.67
15,5,0.43,2,0.67
15,6,0.63,7,0.40
15,7,0.55,6,0.33
15,8,0.63,3,0.40
15,9,0.87,3,0.47
15,10,0.81,4,0.40
21,2,0.07,23,0.19
21,3,0.20,3,0.24
21,4,0.40,9,0.38
21,5,0.47,9,0.33
21,6,0.56,1,0.29
21,7,0.65,2,0.43
21,8,0.67,1,0.48
21,9,0.53,7,0.29
21,10,0.91,1,0.48
23,2,0.20,11,0.35
23,3,0.20,21,0.09
23,4,0.34,11,0.39
23,5,0.39,8,0.30
23,6,0.36,11,0.22
23,7,0.63,13,0.39
23,8,0.67,3,0.57
23,9,0.68,11,0.26
23,10,0.84,3,0.43
25,2,0.16,13,0.36
25,3,0.27,4,0.44
25,4,0.40,6,0.52
25,4,0.40,6,0.52
25,5,0.48,7,0.56
25,6,0.52,5,0.56
25,7,0.43,4,0.56
25,9,0.71,4,0.44
25,10,0.93,3,0.64
27,2,0.14,28,0.11
27,3,0.22,14,0.19
27,4,0.22,15,0.26
27,5,0.45,9,0.30
27,6,0.44,6,0.30
27,7,0.71,4,0.52
27,8,0.59,3,0.33
27,9,0.73,5,0.41
27,10,0.75,2,0.37
31,2,0.19,8,0.39
31,3,0.23,10,0.42
31,4,0.29,4,0.45
31,5,0.37,4,0.39
31,6,0.41,2,0.32
31,7,0.52,2,0.42
31,8,0.79,3,0.58
31,9,0.87,3,0.45
31,10,0.89,2,0.45
36,2,0.17,14,0.44
36,3,0.27,7,0.36
36,4,0.38,6,0.42
36,5,0.48,13,0.33
36,6,0.25,5,0.47
36,7,0.69,7,0.50
36,8,0.70,6,0.50
36,9,0.83,4,0.31
36,10,0.73,4,0.42
40,2,0.16,26,0.23
40,3,0.28,32,0.30
40,4,0.31,5,0.30
40,5,0.46,16,0.40
40,6,0.51,13,0.30
40,7,0.62,10,0.45
40,8,0.72,7,0.48
40,9,0.79,5,0.30
40,10,0.79,3,0.35
46,2,0.19,9,0.24
46,3,0.09,63,0.13
46,4,0.38,6,0.28
46,5,0.40,3,0.30
46,6,0.57,7,0.35
46,7,0.60,5,0.22
46,8,0.67,6,0.39
46,9,0.83,5,0.39
46,10,0.65,5,0.20
58,2,0.18,12,0.31
58,3,0.22,11,0.21
58,4,0.12,22,0.38
58,5,0.31,9,0.22
58,6,0.40,15,0.29
58,7,0.67,10,0.47
58,8,0.72,4,0.53
58,9,0.80,9,0.36
58,10,0.93,5,0.52