type,batteryCost,avgWaitingTime,maxWaitingTime,minWaitingTime,stabilityWaitingTime,avgJourneyTime
8v_hw_10max_autonomy13h,10.2870865429,5,54,0,52,34
8v_hw_10max_autonomy8h,16.6181036453,10,127,0,307,38
8v_hw_const_0.1,18.0281757664,15,167,0,662,40
8v_hw_max_10_manyCharging,14.2504619069,8,59,0,101,43
adaptVehicles,14.821164675,8,35,0,59,55
optionalStops,25.9238988206,5,57,0,36,46
adaptVehicles2,16.5791931776,7,96,0,91,37
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,